,P,B,F,V,M,W,TH,DH,T,D,S,Z,N,L,R,CH,JH,SH,ZH,Y,K,G,NG,HH
P,0,1,1,2,3,3,2,3,1,2,2,3,4,4,4,2,3,2,3,4,1,2,4,2
B,1,0,2,1,2,2,3,2,2,1,3,2,3,3,3,3,2,3,2,3,2,1,3,3
F,1,2,0,1,3,3,1,2,2,3,1,2,4,4,4,2,3,1,2,4,2,3,4,1
V,2,1,1,0,2,2,2,1,3,2,2,1,3,3,3,3,2,2,1,3,3,2,3,2
M,3,2,3,2,0,1,4,3,4,3,4,3,1,2,2,4,3,4,3,2,4,3,1,4
W,3,2,3,2,1,0,4,3,4,3,4,3,2,2,2,4,3,4,3,1,4,3,2,4
TH,2,3,1,2,4,4,0,1,2,3,1,2,4,4,4,2,3,1,2,4,2,3,4,1
DH,3,2,2,1,3,3,1,0,3,2,2,1,3,3,3,3,2,2,1,3,3,2,3,2
T,1,2,2,3,4,4,2,3,0,1,1,2,3,3,3,2,3,2,3,4,1,2,4,2
D,2,1,3,2,3,3,3,2,1,0,2,1,2,2,2,3,2,3,2,3,2,1,3,3
S,2,3,1,2,4,4,1,2,1,2,0,1,3,3,3,2,3,1,2,4,2,3,4,1
Z,3,2,2,1,3,3,2,1,2,1,1,0,2,2,2,3,2,2,1,3,3,2,3,2
N,4,3,4,3,1,2,4,3,3,2,3,2,0,1,1,4,3,4,3,2,4,3,1,4
L,4,3,4,3,2,2,4,3,3,2,3,2,1,0,1,4,3,4,3,2,4,3,2,4
R,4,3,4,3,2,2,4,3,3,2,3,2,1,1,0,4,3,4,3,2,4,3,2,4
CH,2,3,2,3,4,4,2,3,2,3,2,3,4,4,4,0,1,1,2,3,2,3,4,2
JH,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,1,0,2,1,2,3,2,3,3
SH,2,3,1,2,4,4,1,2,2,3,1,2,4,4,4,1,2,0,1,3,2,3,4,1
ZH,3,2,2,1,3,3,2,1,3,2,2,1,3,3,3,2,1,1,0,2,3,2,3,2
Y,4,3,4,3,2,1,4,3,4,3,4,3,2,2,2,3,2,3,2,0,4,3,2,4
K,1,2,2,3,4,4,2,3,1,2,2,3,4,4,4,2,3,2,3,4,0,1,3,2
G,2,1,3,2,3,3,3,2,2,1,3,2,3,3,3,3,2,3,2,3,1,0,2,3
NG,4,3,4,3,1,2,4,3,4,3,4,3,1,2,2,4,3,4,3,2,3,2,0,4
HH,2,3,1,2,4,4,1,2,2,3,1,2,4,4,4,2,3,1,2,4,2,3,4,0